name;url;css;frequency;minchange
"Brack.ch Spielwaren";"https://www.brack.ch/familie-baby/spielwaren?filter%5BArt%5D%5B%5D=offer&filter%5BArt%5D%5B%5D=trade&sortProducts=Beste%20Ergebnisse";"body > article > div:nth-child(1) > div > nav > div > p";60;
"Galaxus.ch Lego Rabatt";"https://www.galaxus.ch/de/s5/producttype/lego-277?bra=763&so=12";"#productListingContainer > div:nth-child(5)";60;
"Galaxus.ch Lego Aktionen";"https://www.galaxus.ch/de/s5/producttype/lego-277?bra=763&sale=1";"#productListingContainer > div > h2";60;
"microspot.ch Lego";"https://www.microspot.ch/de/spielwaren-drohnen/lego/lego--c821000?hasPromoLabel=true&page=0&sort=price-desc";"#TOP_OF_PRODUCTS_OVERVIEW > div:nth-child(3) > div:nth-child(2) > section > div:nth-child(4) > span";60;
"Melectronics Lego";"https://www.melectronics.ch/de/s/lego/b/lego?q=:price-desc";"span[data-testid='search-amount-results']";60;
"Jumbo";"https://www.jumbo.ch/de/hobby-sport/spielwaren/bauen-spielsets/lego/c/08250501?sort=discount-desc";"h3.product-tile__title:first";60;
"interdiscount.ch Lego";"https://www.interdiscount.ch/de/spielwaren-drohnen/lego/lego--c821000?hasPromoLabel=true&page=0&sort=price-desc";"#TOP_OF_PRODUCTS_OVERVIEW > div:nth-child(4) > div:nth-child(2) > div:nth-child(4)";60;
"preispirat.ch";"https://www.preispirat.ch";"div.news-community:nth-child(1)";60;50
"Lego.com Sale";"https://www.lego.com/de-ch/categories/sales-and-deals";"#blteb53aaee7208a978 section div div div.Productsstyles__ProductsWrapper-r9qrnh-0.erhzcf ul li:nth-child(1) div div.ProductLeafSharedstyles__Column-sc-1epu2xb-1.eTTqVI div.ProductLeafSharedstyles__DetailsRow-sc-1epu2xb-4.uVRhD a h2 span";60;
"Smyth Toys Sale";"https://www.smythstoys.com/ch/de-ch/spielzeug/angebote/c/angebote-bei-smythstoys?q=:bestsellerRating:productVisible:true:brand:LEGO:productVisible:true:brand:Pok̩mon:productVisible:true:productVisible:true";"body > main > div > div.st-wrap > div > div.st-layout-item.st-mt.st-2\/3\@m.st-3\/4\@l.productGrid > div > h4";60;
"Manor Spielwaren";"https://www.manor.ch/de/produktkollektionen/sale/spielwaren/h/specialprice/toys?brand=lego&brand=pokemon&brand=yu-gi-oh&brand=nintendo&brand=mattel";"main > div:nth-child(2) > div:nth-child(3) > div > div:nth-child(1) > div:nth-child(1) > h2 > span";60;
"wog.ch Spielwaren";"https://www.wog.ch/index.cfm/bargain-all/type/Toys/orderBy/datecreated";"div.product-tile__title:first";60;
"wog.ch Games";"https://www.wog.ch/index.cfm/bargain/type/Games/orderBy/datecreated";"div.product-tile__title:first";60;
"cede.ch Spielwaren";"https://www.cede.ch/de/toys/?view=listtile&page_id=79116&branch_sub=0&branch=101&availability_id=1&sort=releasedatedesc&paging_count=100";"#top > div.grid-container.main-content > div > div > div.small-12.large-10.cell > div.grid-x.grid-margin-x.small-up-2.medium-up-4.large-up-5";60;
"cede.ch Games";"https://www.cede.ch/de/games/?view=listtile&page_id=79111&branch_sub=0&branch=4&availability_id=1&sort=releasedatedesc&paging_count=100";"#top > div.grid-container.main-content > div > div > div.small-12.large-10.cell > div.grid-x.grid-margin-x.small-up-2.medium-up-4.large-up-5";60;